METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|60.7|Bagging|Prueba
Exhaustividad|68.46|Bagging|Prueba
Puntuacion F1|59.73|Bagging|Prueba
Exactitud|68.46|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|2.23|Bagging|Prueba
Indice Kappa de Cohen|8.13|Bagging|Prueba
Precision|99.0|Bagging|Entrenamiento
Exhaustividad|98.99|Bagging|Entrenamiento
Puntuacion F1|98.98|Bagging|Entrenamiento
Exactitud|98.99|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|93.13|Bagging|Entrenamiento
Indice Kappa de Cohen|97.69|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.7, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
Precision|56.55|RandomForest|Prueba
Exhaustividad|66.78|RandomForest|Prueba
Puntuacion F1|57.76|RandomForest|Prueba
Exactitud|66.78|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|1.03|RandomForest|Prueba
Indice Kappa de Cohen|3.12|RandomForest|Prueba
Precision|74.8|RandomForest|Entrenamiento
Exhaustividad|76.75|RandomForest|Entrenamiento
Puntuacion F1|70.57|RandomForest|Entrenamiento
Exactitud|76.75|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|16.02|RandomForest|Entrenamiento
Indice Kappa de Cohen|27.91|RandomForest|Entrenamiento
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 3, min_samples_split: 20, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo
Precision|57.14|ExtraTrees|Prueba
Exhaustividad|66.78|ExtraTrees|Prueba
Puntuacion F1|58.36|ExtraTrees|Prueba
Exactitud|66.78|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|1.32|ExtraTrees|Prueba
Indice Kappa de Cohen|4.31|ExtraTrees|Prueba
Precision|89.36|ExtraTrees|Entrenamiento
Exhaustividad|87.9|ExtraTrees|Entrenamiento
Puntuacion F1|85.7|ExtraTrees|Entrenamiento
Exactitud|87.9|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|50.64|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|67.69|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 9, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|46.4|AdaBoost|Prueba
Exhaustividad|68.12|AdaBoost|Prueba
Puntuacion F1|55.2|AdaBoost|Prueba
Exactitud|68.12|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Prueba
Indice Kappa de Cohen|0.0|AdaBoost|Prueba
Precision|50.39|AdaBoost|Entrenamiento
Exhaustividad|70.99|AdaBoost|Entrenamiento
Puntuacion F1|58.94|AdaBoost|Entrenamiento
Exactitud|70.99|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Entrenamiento
Indice Kappa de Cohen|0.0|AdaBoost|Entrenamiento
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0005, n_estimators: 1, random_state: None|AdaBoost|Hiperparametros del modelo
Precision|63.75|GradientBoosting|Prueba
Exhaustividad|68.29|GradientBoosting|Prueba
Puntuacion F1|55.89|GradientBoosting|Prueba
Exactitud|68.29|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|0.47|GradientBoosting|Prueba
Indice Kappa de Cohen|1.19|GradientBoosting|Prueba
Precision|79.59|GradientBoosting|Entrenamiento
Exhaustividad|71.63|GradientBoosting|Entrenamiento
Puntuacion F1|60.27|GradientBoosting|Entrenamiento
Exactitud|71.63|GradientBoosting|Entrenamiento
Informacion Mutua Normalizada (NMI)|5.77|GradientBoosting|Entrenamiento
Indice Kappa de Cohen|3.6|GradientBoosting|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, criterion: friedman_mse, init: None, learning_rate: 0.01, loss: log_loss, max_depth: 3, max_features: None, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 2, min_weight_fraction_leaf: 0.0, n_estimators: 100, n_iter_no_change: None, random_state: None, subsample: 1.0, tol: 0.0001, validation_fraction: 0.1, verbose: 0, warm_start: False|GradientBoosting|Hiperparametros del modelo
Precision|46.4|XGB|Prueba
Exhaustividad|68.12|XGB|Prueba
Puntuacion F1|55.2|XGB|Prueba
Exactitud|68.12|XGB|Prueba
Informacion Mutua Normalizada (NMI)|0.0|XGB|Prueba
Indice Kappa de Cohen|0.0|XGB|Prueba
Precision|50.39|XGB|Entrenamiento
Exhaustividad|70.99|XGB|Entrenamiento
Puntuacion F1|58.94|XGB|Entrenamiento
Exactitud|70.99|XGB|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.0|XGB|Entrenamiento
Indice Kappa de Cohen|0.0|XGB|Entrenamiento
Mejores Hiperparametros|objective: multi:softprob, base_score: None, booster: None, callbacks: None, colsample_bylevel: None, colsample_bynode: None, colsample_bytree: 0.1, device: None, early_stopping_rounds: None, enable_categorical: False, eval_metric: None, feature_types: None, gamma: None, grow_policy: None, importance_type: None, interaction_constraints: None, learning_rate: None, max_bin: None, max_cat_threshold: None, max_cat_to_onehot: None, max_delta_step: None, max_depth: None, max_leaves: None, min_child_weight: None, missing: nan, monotone_constraints: None, multi_strategy: None, n_estimators: 3, n_jobs: None, num_parallel_tree: None, random_state: None, reg_alpha: 0, reg_lambda: 0.1, sampling_method: None, scale_pos_weight: None, subsample: None, tree_method: None, validate_parameters: None, verbosity: None, loss: log_loss, max_features: sqrt|XGB|Hiperparametros del modelo
Precision|46.26|CatBoost|Prueba
Exhaustividad|67.45|CatBoost|Prueba
Puntuacion F1|54.88|CatBoost|Prueba
Exactitud|67.45|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.61|CatBoost|Prueba
Indice Kappa de Cohen|-1.2|CatBoost|Prueba
Precision|73.87|CatBoost|Entrenamiento
Exhaustividad|71.85|CatBoost|Entrenamiento
Puntuacion F1|60.91|CatBoost|Entrenamiento
Exactitud|71.85|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|3.13|CatBoost|Entrenamiento
Indice Kappa de Cohen|4.34|CatBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.01, depth: 8, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo
Precision|60.46|LGBM|Prueba
Exhaustividad|67.11|LGBM|Prueba
Puntuacion F1|61.91|LGBM|Prueba
Exactitud|67.11|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|3.81|LGBM|Prueba
Indice Kappa de Cohen|12.85|LGBM|Prueba
Precision|92.04|LGBM|Entrenamiento
Exhaustividad|91.43|LGBM|Entrenamiento
Puntuacion F1|90.92|LGBM|Entrenamiento
Exactitud|91.43|LGBM|Entrenamiento
Informacion Mutua Normalizada (NMI)|65.29|LGBM|Entrenamiento
Indice Kappa de Cohen|78.68|LGBM|Entrenamiento
Mejores Hiperparametros|boosting_type: gbdt, class_weight: None, colsample_bytree: 0.6, importance_type: split, learning_rate: 0.1, max_depth: -1, min_child_samples: 50, min_child_weight: 0.001, min_split_gain: 0.0, n_estimators: 100, n_jobs: None, num_leaves: 31, objective: multiclass, random_state: 42, reg_alpha: 0.0, reg_lambda: 0.0, subsample: 1.0, subsample_for_bin: 200000, subsample_freq: 0, verbose: -1|LGBM|Hiperparametros del modelo
Precision|62.07|VotingHard|Prueba
Exhaustividad|68.29|VotingHard|Prueba
Puntuacion F1|56.18|VotingHard|Prueba
Exactitud|68.29|VotingHard|Prueba
Informacion Mutua Normalizada (NMI)|0.58|VotingHard|Prueba
Indice Kappa de Cohen|1.62|VotingHard|Prueba
Precision|74.52|VotingHard|Entrenamiento
Exhaustividad|72.43|VotingHard|Entrenamiento
Puntuacion F1|62.1|VotingHard|Entrenamiento
Exactitud|72.43|VotingHard|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.52|VotingHard|Entrenamiento
Indice Kappa de Cohen|7.27|VotingHard|Entrenamiento
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}, Estimador: XGB, Hiperparametros: {'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 3, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0, 'reg_lambda': 0.1, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'loss': 'log_loss', 'max_features': 'sqrt'}|VotingHard|Hiperparametros del modelo
Precision|59.62|VotingSoft|Prueba
Exhaustividad|68.12|VotingSoft|Prueba
Puntuacion F1|57.17|VotingSoft|Prueba
Exactitud|68.12|VotingSoft|Prueba
Informacion Mutua Normalizada (NMI)|0.92|VotingSoft|Prueba
Indice Kappa de Cohen|3.02|VotingSoft|Prueba
Precision|76.14|VotingSoft|Entrenamiento
Exhaustividad|75.45|VotingSoft|Entrenamiento
Puntuacion F1|68.0|VotingSoft|Entrenamiento
Exactitud|75.45|VotingSoft|Entrenamiento
Informacion Mutua Normalizada (NMI)|15.68|VotingSoft|Entrenamiento
Indice Kappa de Cohen|21.28|VotingSoft|Entrenamiento
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|VotingSoft|Hiperparametros del modelo
Precision|59.8|StackingLineal|Prueba
Exhaustividad|68.12|StackingLineal|Prueba
Puntuacion F1|58.14|StackingLineal|Prueba
Exactitud|68.12|StackingLineal|Prueba
Informacion Mutua Normalizada (NMI)|1.39|StackingLineal|Prueba
Indice Kappa de Cohen|4.67|StackingLineal|Prueba
Precision|79.39|StackingLineal|Entrenamiento
Exhaustividad|81.57|StackingLineal|Entrenamiento
Puntuacion F1|77.33|StackingLineal|Entrenamiento
Exactitud|81.57|StackingLineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|32.28|StackingLineal|Entrenamiento
Indice Kappa de Cohen|45.93|StackingLineal|Entrenamiento
Mejores Hiperparametros|Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|StackingLineal|Hiperparametros del modelo
Precision|55.52|Stackingnolineal|Prueba
Exhaustividad|67.11|Stackingnolineal|Prueba
Puntuacion F1|56.6|Stackingnolineal|Prueba
Exactitud|67.11|Stackingnolineal|Prueba
Informacion Mutua Normalizada (NMI)|0.54|Stackingnolineal|Prueba
Indice Kappa de Cohen|1.24|Stackingnolineal|Prueba
Precision|81.82|Stackingnolineal|Entrenamiento
Exhaustividad|84.74|Stackingnolineal|Entrenamiento
Puntuacion F1|81.41|Stackingnolineal|Entrenamiento
Exactitud|84.74|Stackingnolineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|42.44|Stackingnolineal|Entrenamiento
Indice Kappa de Cohen|57.17|Stackingnolineal|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|Stackingnolineal|Hiperparametros del modelo
Precision|56.79|VotingWeighted|Prueba
Exhaustividad|67.95|VotingWeighted|Prueba
Puntuacion F1|55.72|VotingWeighted|Prueba
Exactitud|67.95|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|0.19|VotingWeighted|Prueba
Indice Kappa de Cohen|0.58|VotingWeighted|Prueba
Precision|71.1|VotingWeighted|Entrenamiento
Exhaustividad|72.35|VotingWeighted|Entrenamiento
Puntuacion F1|62.05|VotingWeighted|Entrenamiento
Exactitud|72.35|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.35|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|7.15|VotingWeighted|Entrenamiento
Precision|61.83|SuperAprendiz|Prueba
Exhaustividad|68.79|SuperAprendiz|Prueba
Puntuacion F1|60.25|SuperAprendiz|Prueba
Exactitud|68.79|SuperAprendiz|Prueba
Informacion Mutua Normalizada (NMI)|2.83|SuperAprendiz|Prueba
Indice Kappa de Cohen|8.99|SuperAprendiz|Prueba
Precision|87.48|SuperAprendiz|Entrenamiento
Exhaustividad|92.44|SuperAprendiz|Entrenamiento
Puntuacion F1|89.69|SuperAprendiz|Entrenamiento
Exactitud|92.44|SuperAprendiz|Entrenamiento
Informacion Mutua Normalizada (NMI)|71.2|SuperAprendiz|Entrenamiento
Indice Kappa de Cohen|80.86|SuperAprendiz|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}, Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}|SuperAprendiz|Hiperparametros del modelo
Precision|59.45|SuperAprendizdoscapas|Prueba
Exhaustividad|67.79|SuperAprendizdoscapas|Prueba
Puntuacion F1|59.32|SuperAprendizdoscapas|Prueba
Exactitud|67.79|SuperAprendizdoscapas|Prueba
