METRICA|VALOR|MODELO|TIPO_DE_DATOS|CARRERA|SEMESTRE
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 6, max_features: 2, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 6, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 1, splitter: best|DecisionTree|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|73.33|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|75.88|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|74.34|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|75.88|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|36.13|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|59.3|LDA|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|71.72|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|74.66|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|72.91|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|74.66|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|35.66|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|56.89|LDA|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 0.1, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|80.17|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.31|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|79.64|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.31|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|47.82|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|68.36|Bagging|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|100.0|Bagging|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.8, max_samples: 0.7, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|78.47|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.44|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|79.62|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.44|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|47.8|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|68.54|RandomForest|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|86.99|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|86.36|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|84.43|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|86.36|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|59.46|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|76.76|RandomForest|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 7, min_samples_split: 3, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|80.49|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.57|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.0|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.57|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.27|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|68.81|ExtraTrees|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|97.52|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|97.46|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|97.37|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|97.46|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|89.42|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|95.83|ExtraTrees|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 5, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|52.56|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|65.53|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|58.22|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|65.53|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|23.71|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|39.7|AdaBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|50.6|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|63.83|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|56.33|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|63.83|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|23.66|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|36.14|AdaBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0005, n_estimators: 1, random_state: None|AdaBoost|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|77.6|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|78.66|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|78.04|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|78.66|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|44.58|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|64.86|GradientBoosting|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|99.04|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|99.03|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|99.02|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|99.03|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|95.8|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|98.42|GradientBoosting|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|ccp_alpha: 0.0, criterion: friedman_mse, init: None, learning_rate: 0.05, loss: log_loss, max_depth: 3, max_features: None, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 2, min_weight_fraction_leaf: 0.0, n_estimators: 600, n_iter_no_change: None, random_state: None, subsample: 1.0, tol: 0.0001, validation_fraction: 0.1, verbose: 0, warm_start: False|GradientBoosting|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|78.17|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|79.29|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|77.91|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|79.29|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|44.17|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|65.16|XGB|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|90.88|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|90.47|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|89.63|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|90.47|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|70.5|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|83.93|XGB|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|objective: multi:softprob, base_score: None, booster: None, callbacks: None, colsample_bylevel: None, colsample_bynode: None, colsample_bytree: 0.7, device: None, early_stopping_rounds: None, enable_categorical: False, eval_metric: None, feature_types: None, gamma: None, grow_policy: None, importance_type: None, interaction_constraints: None, learning_rate: None, max_bin: None, max_cat_threshold: None, max_cat_to_onehot: None, max_delta_step: None, max_depth: None, max_leaves: None, min_child_weight: None, missing: nan, monotone_constraints: None, multi_strategy: None, n_estimators: 9, n_jobs: None, num_parallel_tree: None, random_state: None, reg_alpha: 0.4, reg_lambda: 0.14, sampling_method: None, scale_pos_weight: None, subsample: None, tree_method: None, validate_parameters: None, verbosity: None, loss: log_loss, max_features: sqrt|XGB|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|79.3|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.94|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.15|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.94|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.74|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|69.12|CatBoost|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|77.12|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|80.62|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|78.52|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|80.62|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|47.3|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|66.69|CatBoost|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|learning_rate: 0.01, depth: 6, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|79.23|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|80.56|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|79.51|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|80.56|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|46.49|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|67.53|LGBM|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|100.0|LGBM|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|boosting_type: gbdt, class_weight: None, colsample_bytree: 0.6, importance_type: split, learning_rate: 0.1, max_depth: -1, min_child_samples: 50, min_child_weight: 0.001, min_split_gain: 0.0, n_estimators: 100, n_jobs: None, num_leaves: 31, objective: multiclass, random_state: 42, reg_alpha: 0.0, reg_lambda: 0.0, subsample: 1.0, subsample_for_bin: 200000, subsample_freq: 0, verbose: -1|LGBM|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|80.37|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.44|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|79.88|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.44|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.51|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|68.63|VotingHard|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|92.53|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|92.2|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|91.26|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|92.2|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|75.16|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|86.89|VotingHard|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 600, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}, Estimador: XGB, Hiperparametros: {'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 9, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.4, 'reg_lambda': 0.14, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'loss': 'log_loss', 'max_features': 'sqrt'}|VotingHard|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|80.71|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.69|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.13|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.69|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.72|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|68.97|VotingSoft|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|93.25|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|92.91|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|92.22|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|92.91|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|77.35|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|88.08|VotingSoft|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
