METRICA|VALOR|MODELO|TIPO_DE_DATOS
Puntuacion F1|48.88|LDA|Entrenamiento
Exactitud|61.99|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|1.18|LDA|Entrenamiento
Indice Kappa de Cohen|2.91|LDA|Entrenamiento
Mejores Hiperparametros|n_components: 1, shrinkage: 1, solver: lsqr, tol: 0.001|LDA|Hiperparametros del modelo
Precision|57.5|Bagging|Prueba
Exhaustividad|63.68|Bagging|Prueba
Puntuacion F1|57.03|Bagging|Prueba
Exactitud|63.68|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|0.87|Bagging|Prueba
Indice Kappa de Cohen|7.62|Bagging|Prueba
Precision|96.81|Bagging|Entrenamiento
Exhaustividad|96.65|Bagging|Entrenamiento
Puntuacion F1|96.56|Bagging|Entrenamiento
Exactitud|96.65|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|83.13|Bagging|Entrenamiento
Indice Kappa de Cohen|93.24|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, max_features: 0.75, max_samples: 0.7, n_estimators: 750|Bagging|Hiperparametros del modelo
Precision|53.9|RandomForest|Prueba
Exhaustividad|63.18|RandomForest|Prueba
Puntuacion F1|52.94|RandomForest|Prueba
Exactitud|63.18|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|0.06|RandomForest|Prueba
Indice Kappa de Cohen|1.37|RandomForest|Prueba
Precision|67.6|RandomForest|Entrenamiento
Exhaustividad|65.12|RandomForest|Entrenamiento
Puntuacion F1|55.64|RandomForest|Entrenamiento
Exactitud|65.12|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.07|RandomForest|Entrenamiento
Indice Kappa de Cohen|13.37|RandomForest|Entrenamiento
Mejores Hiperparametros|criterion: log_loss, min_samples_leaf: 15, min_samples_split: 15|RandomForest|Hiperparametros del modelo
Precision|56.9|ExtraTrees|Prueba
Exhaustividad|63.85|ExtraTrees|Prueba
Puntuacion F1|55.44|ExtraTrees|Prueba
Exactitud|63.85|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|0.64|ExtraTrees|Prueba
Indice Kappa de Cohen|5.4|ExtraTrees|Prueba
Precision|81.5|ExtraTrees|Entrenamiento
Exhaustividad|82.42|ExtraTrees|Entrenamiento
Puntuacion F1|79.64|ExtraTrees|Entrenamiento
Exactitud|82.42|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|43.24|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|60.51|ExtraTrees|Entrenamiento
Mejores Hiperparametros|criterion: gini, min_samples_leaf: 2, min_samples_split: 5|ExtraTrees|Hiperparametros del modelo
Precision|41.4|AdaBoost|Prueba
Exhaustividad|64.34|AdaBoost|Prueba
Puntuacion F1|50.39|AdaBoost|Prueba
Exactitud|64.34|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Prueba
Indice Kappa de Cohen|0.0|AdaBoost|Prueba
Precision|37.55|AdaBoost|Entrenamiento
Exhaustividad|61.28|AdaBoost|Entrenamiento
Puntuacion F1|46.57|AdaBoost|Entrenamiento
Exactitud|61.28|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Entrenamiento
Indice Kappa de Cohen|0.0|AdaBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.0015, n_estimators: 36|AdaBoost|Hiperparametros del modelo
Precision|56.84|GradientBoosting|Prueba
Exhaustividad|64.18|GradientBoosting|Prueba
Puntuacion F1|53.29|GradientBoosting|Prueba
Exactitud|64.18|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|0.39|GradientBoosting|Prueba
Indice Kappa de Cohen|2.95|GradientBoosting|Prueba
Precision|72.63|GradientBoosting|Entrenamiento
Exhaustividad|64.34|GradientBoosting|Entrenamiento
Puntuacion F1|53.75|GradientBoosting|Entrenamiento
Exactitud|64.34|GradientBoosting|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.72|GradientBoosting|Entrenamiento
Indice Kappa de Cohen|10.66|GradientBoosting|Entrenamiento
Mejores Hiperparametros|criterion: friedman_mse, learning_rate: 0.01, loss: log_loss, n_estimators: 200|GradientBoosting|Hiperparametros del modelo
Precision|53.77|XGB|Prueba
Exhaustividad|61.86|XGB|Prueba
Puntuacion F1|54.38|XGB|Prueba
Exactitud|61.86|XGB|Prueba
Informacion Mutua Normalizada (NMI)|0.35|XGB|Prueba
Indice Kappa de Cohen|2.32|XGB|Prueba
Precision|77.84| XGB|Entrenamiento
Exhaustividad|71.1| XGB|Entrenamiento
Puntuacion F1|65.68| XGB|Entrenamiento
Exactitud|71.1| XGB|Entrenamiento
Informacion Mutua Normalizada (NMI)|18.96| XGB|Entrenamiento
Indice Kappa de Cohen|31.23| XGB|Entrenamiento
Mejores Hiperparametros|colsample_bytree: 0.9, loss: log_loss, max_features: sqrt, n_estimators: 5, objective: binary:logistic, reg_alpha: 0.2, reg_lambda: 0.12|XGB|Hiperparametros del modelo
Precision|58.28|CatBoost|Prueba
Exhaustividad|64.51|CatBoost|Prueba
Puntuacion F1|53.48|CatBoost|Prueba
Exactitud|64.51|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.62|CatBoost|Prueba
Indice Kappa de Cohen|3.57|CatBoost|Prueba
Precision|64.96|CatBoost|Entrenamiento
Exhaustividad|63.49|CatBoost|Entrenamiento
Puntuacion F1|52.47|CatBoost|Entrenamiento
Exactitud|63.49|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|3.3|CatBoost|Entrenamiento
Indice Kappa de Cohen|8.19|CatBoost|Entrenamiento
Mejores Hiperparametros|border_count: 53, depth: 6, l2_leaf_reg: 42, learning_rate: 0.01, thread_count: 4|CatBoost|Hiperparametros del modelo
Precision|56.13|LGBM|Prueba
Exhaustividad|63.35|LGBM|Prueba
Puntuacion F1|55.09|LGBM|Prueba
Exactitud|63.35|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|0.42|LGBM|Prueba
Indice Kappa de Cohen|4.36|LGBM|Prueba
Precision|65.48|LGBM|Entrenamiento
Exhaustividad|65.48|LGBM|Entrenamiento
Puntuacion F1|57.21|LGBM|Entrenamiento
Exactitud|65.48|LGBM|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.86|LGBM|Entrenamiento
Indice Kappa de Cohen|15.56|LGBM|Entrenamiento
Precision|55.99|VotingHard|Prueba
Exhaustividad|64.01|VotingHard|Prueba
Puntuacion F1|52.96|VotingHard|Prueba
Exactitud|64.01|VotingHard|Prueba
Informacion Mutua Normalizada (NMI)|0.27|VotingHard|Prueba
Indice Kappa de Cohen|2.36|VotingHard|Prueba
Precision|70.8|VotingHard|Entrenamiento
Exhaustividad|65.55|VotingHard|Entrenamiento
Puntuacion F1|55.77|VotingHard|Entrenamiento
Exactitud|65.55|VotingHard|Entrenamiento
Informacion Mutua Normalizada (NMI)|7.95|VotingHard|Entrenamiento
Indice Kappa de Cohen|14.01|VotingHard|Entrenamiento
Mejores Hiperparametros|"Estimador: Gradient, Hiperparámetros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 2, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 800, 'n_iter_no_change': None, 'random_state': 7, 'subsample': 1, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparámetros: {'algorithm': 'SAMME.R', 'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': 8, 'estimator__max_features': 1, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': 5, 'estimator__splitter': 'random', 'estimator': DecisionTreeClassifier(max_depth=8, max_features=1, min_samples_split=5,
                       random_state=5, splitter='random'), 'learning_rate': 0.001, 'n_estimators': 1200, 'random_state': 7}, Estimador: Extratrees, Hiperparámetros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparámetros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 1100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparámetros: {'bootstrap': True, 'bootstrap_features': False, 'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': 6, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 9, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': 10, 'estimator__splitter': 'random', 'estimator': DecisionTreeClassifier(max_depth=6, min_samples_leaf=9, random_state=10,
                       splitter='random'), 'max_features': 0.9, 'max_samples': 0.95, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 7, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparámetros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 10, 'splitter': 'random'}, Estimador: XGB, Hiperparámetros: {'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.05, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.3, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 2, 'max_leaves': None, 'min_child_weight': 6, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 40, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 7, 'reg_alpha': 0.2, 'reg_lambda': 1.35, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"|VotingHard|Hiperparametros del modelo
Precision|58.46|VotingSoft|Prueba
Exhaustividad|64.68|VotingSoft|Prueba
Puntuacion F1|54.09|VotingSoft|Prueba
Exactitud|64.68|VotingSoft|Prueba
Informacion Mutua Normalizada (NMI)|1.08|VotingSoft|Prueba
Indice Kappa de Cohen|4.57|VotingSoft|Prueba
Precision|73.37|VotingSoft|Entrenamiento
Exhaustividad|67.54|VotingSoft|Entrenamiento
Puntuacion F1|59.07|VotingSoft|Entrenamiento
Exactitud|67.54|VotingSoft|Entrenamiento
Informacion Mutua Normalizada (NMI)|13.64|VotingSoft|Entrenamiento
Indice Kappa de Cohen|19.89|VotingSoft|Entrenamiento
Precision|59.77|StackingLineal|Prueba
Exhaustividad|65.17|StackingLineal|Prueba
Puntuacion F1|55.73|StackingLineal|Prueba
Exactitud|65.17|StackingLineal|Prueba
Informacion Mutua Normalizada (NMI)|1.9|StackingLineal|Prueba
Indice Kappa de Cohen|7.22|StackingLineal|Prueba
Precision|76.23|StackingLineal|Entrenamiento
Exhaustividad|72.46|StackingLineal|Entrenamiento
Puntuacion F1|66.85|StackingLineal|Entrenamiento
Exactitud|72.46|StackingLineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|23.17|StackingLineal|Entrenamiento
Indice Kappa de Cohen|34.06|StackingLineal|Entrenamiento
Precision|56.48|Stackingnolineal|Prueba
Exhaustividad|63.68|Stackingnolineal|Prueba
Puntuacion F1|55.55|Stackingnolineal|Prueba
Exactitud|63.68|Stackingnolineal|Prueba
Informacion Mutua Normalizada (NMI)|0.77|Stackingnolineal|Prueba
Indice Kappa de Cohen|5.48|Stackingnolineal|Prueba
Precision|69.39|Stackingnolineal|Entrenamiento
Exhaustividad|70.04|Stackingnolineal|Entrenamiento
Puntuacion F1|63.91|Stackingnolineal|Entrenamiento
Exactitud|70.04|Stackingnolineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|14.67|Stackingnolineal|Entrenamiento
Indice Kappa de Cohen|28.7|Stackingnolineal|Entrenamiento
Precision|55.99|VotingWeighted|Prueba
Exhaustividad|64.01|VotingWeighted|Prueba
Puntuacion F1|52.96|VotingWeighted|Prueba
Exactitud|64.01|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|0.27|VotingWeighted|Prueba
Indice Kappa de Cohen|2.36|VotingWeighted|Prueba
Precision|71.26|VotingWeighted|Entrenamiento
Exhaustividad|65.55|VotingWeighted|Entrenamiento
Puntuacion F1|55.78|VotingWeighted|Entrenamiento
Exactitud|65.55|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|9.38|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|14.06|VotingWeighted|Entrenamiento
Precision|56.64|SuperAprendiz|Prueba
Exhaustividad|63.52|SuperAprendiz|Prueba
Puntuacion F1|56.13|SuperAprendiz|Prueba
Exactitud|63.52|SuperAprendiz|Prueba
Informacion Mutua Normalizada (NMI)|0.75|SuperAprendiz|Prueba
Indice Kappa de Cohen|6.2|SuperAprendiz|Prueba
Precision|78.28|SuperAprendiz|Entrenamiento
Exhaustividad|77.65|SuperAprendiz|Entrenamiento
Puntuacion F1|74.01|SuperAprendiz|Entrenamiento
Exactitud|77.65|SuperAprendiz|Entrenamiento
Informacion Mutua Normalizada (NMI)|31.29|SuperAprendiz|Entrenamiento
Indice Kappa de Cohen|48.47|SuperAprendiz|Entrenamiento
Precision|54.61|SuperAprendizdoscapas|Prueba
Exhaustividad|62.35|SuperAprendizdoscapas|Prueba
Puntuacion F1|55.02|SuperAprendizdoscapas|Prueba
Exactitud|62.35|SuperAprendizdoscapas|Prueba
Informacion Mutua Normalizada (NMI)|0.31|SuperAprendizdoscapas|Prueba
Indice Kappa de Cohen|3.6|SuperAprendizdoscapas|Prueba
Precision|78.35|SuperAprendizdoscapas|Entrenamiento
Exhaustividad|77.58|SuperAprendizdoscapas|Entrenamiento
Puntuacion F1|73.9|SuperAprendizdoscapas|Entrenamiento
Exactitud|77.58|SuperAprendizdoscapas|Entrenamiento
Informacion Mutua Normalizada (NMI)|31.47|SuperAprendizdoscapas|Entrenamiento
Indice Kappa de Cohen|48.23|SuperAprendizdoscapas|Entrenamiento
Precision|51.7|RedNeuronal|Prueba
Exhaustividad|63.52|RedNeuronal|Prueba
Puntuacion F1|51.43|RedNeuronal|Prueba
Exactitud|63.52|RedNeuronal|Prueba
Informacion Mutua Normalizada (NMI)|0.1|RedNeuronal|Prueba
Indice Kappa de Cohen|0.02|RedNeuronal|Prueba
Precision|58.56|RedNeuronal|Entrenamiento
Exhaustividad|61.99|RedNeuronal|Entrenamiento
Puntuacion F1|49.68|RedNeuronal|Entrenamiento
Exactitud|61.99|RedNeuronal|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.93|RedNeuronal|Entrenamiento
Indice Kappa de Cohen|3.68|RedNeuronal|Entrenamiento
